term,page,page_num,chapter,ch_title,formatted
datasets!anscombe,22,22,3,Getting Started,datasets!\texttt{anscombe}
datasets,22,22,3,Getting Started,\texttt{datasets} package
packages!datasets,22,22,3,Getting Started,packages!\texttt{datasets}
ggplot(),23,23,3,Getting Started,\texttt{ggplot()}
stat_ellipse(),23,23,3,Getting Started,\texttt{stat\_ellipse()}
data ellipse,23,23,3,Getting Started,NA
pure error,24,24,3,Getting Started,NA
lack of fit,24,24,3,Getting Started,NA
outliers,24,24,3,Getting Started,NA
influence,24,24,3,Getting Started,NA
datasaurus dozen,25,25,3,Getting Started,NA
datasauRus,25,25,3,Getting Started,\texttt{datasauRus} package
packages!datasauRus,25,25,3,Getting Started,packages!\texttt{datasauRus}
datasauRus,25,25,3,Getting Started,\texttt{datasauRus} package
packages!datasauRus,25,25,3,Getting Started,packages!\texttt{datasauRus}
metamer,25,25,3,Getting Started,\texttt{metamer} package
packages!metamer,25,25,3,Getting Started,packages!\texttt{metamer}
causal analysis,25,25,3,Getting Started,NA
quartets,26,26,3,Getting Started,\texttt{quartets} package
packages!quartets,26,26,3,Getting Started,packages!\texttt{quartets}
quartet!causal,26,26,3,Getting Started,NA
quartet!Rashamon,26,26,3,Getting Started,NA
Davis,26,26,3,Getting Started,\texttt{Davis} data
datasets!Davis,26,26,3,Getting Started,datasets!\texttt{Davis}
carData,26,26,3,Getting Started,\texttt{carData} package
packages!carData,26,26,3,Getting Started,packages!\texttt{carData}
influence,27,27,3,Getting Started,NA
ggplot2,27,27,3,Getting Started,\texttt{ggplot2} package
packages!ggplot2,27,27,3,Getting Started,packages!\texttt{ggplot2}
influence,28,28,3,Getting Started,NA
1970 draft lottery,28,28,3,Getting Started,NA
Draft1970,29,29,3,Getting Started,\texttt{Draft1970} data
datasets!Draft1970,29,29,3,Getting Started,datasets!\texttt{Draft1970}
vcdExtra,29,29,3,Getting Started,\texttt{vcdExtra} package
packages!vcdExtra,29,29,3,Getting Started,packages!\texttt{vcdExtra}
1970 draft lottery,31,31,3,Getting Started,NA
loess,31,31,3,Getting Started,NA
smoother!loess,31,31,3,Getting Started,NA
ggbreak,32,32,3,Getting Started,\texttt  {ggbreak} package
packages!ggbreak,32,32,3,Getting Started,packages!\texttt  {ggbreak}
sample(),34,34,3,Getting Started,\texttt{sample()}
data plots,35,35,3,Getting Started,NA
reconnaissance plots,35,35,3,Getting Started,NA
multivariate juicer,35,35,3,Getting Started,NA
dimension reduction,35,35,3,Getting Started,NA
canonical space,35,35,3,Getting Started,NA
uncertainty,35,35,3,Getting Started,NA
model plots,35,35,3,Getting Started,NA
added-variable plots,35,35,3,Getting Started,NA
effect plots,35,35,3,Getting Started,NA
diagnostic plots,35,35,3,Getting Started,NA
lm(),35,35,3,Getting Started,\texttt{lm()}
"Tukey, John",41,41,4,Plots of Multivariate Data,NA
quartet!Anscombe,41,41,4,Plots of Multivariate Data,NA
scatterplot matrix,42,42,4,Plots of Multivariate Data,NA
smoother,42,42,4,Plots of Multivariate Data,NA
data ellipse,42,42,4,Plots of Multivariate Data,NA
stratifier,42,42,4,Plots of Multivariate Data,NA
uncertainty,42,42,4,Plots of Multivariate Data,NA
Salaries,43,43,4,Plots of Multivariate Data,\texttt{Salaries} data
datasets!Salaries,43,43,4,Plots of Multivariate Data,datasets!\texttt{Salaries}
carData,43,43,4,Plots of Multivariate Data,\texttt{carData} package
packages!carData,43,43,4,Plots of Multivariate Data,packages!\texttt{carData}
smoother,44,44,4,Plots of Multivariate Data,NA
ggplot2,44,44,4,Plots of Multivariate Data,\texttt{ggplot2} package
packages!ggplot2,44,44,4,Plots of Multivariate Data,packages!\texttt{ggplot2}
uncertainty,45,45,4,Plots of Multivariate Data,NA
precision,45,45,4,Plots of Multivariate Data,NA
smoother!non-parametric,45,45,4,Plots of Multivariate Data,NA
loess,45,45,4,Plots of Multivariate Data,NA
lowess,45,45,4,Plots of Multivariate Data,NA
geom_smooth(),45,45,4,Plots of Multivariate Data,\texttt  {geom\_smooth()}
confidence!interval,45,45,4,Plots of Multivariate Data,NA
confidence!band,45,45,4,Plots of Multivariate Data,NA
confidence!pointwise,45,45,4,Plots of Multivariate Data,NA
smoother,46,46,4,Plots of Multivariate Data,NA
stratifier,47,47,4,Plots of Multivariate Data,NA
shingle,47,47,4,Plots of Multivariate Data,NA
visual thinking,47,47,4,Plots of Multivariate Data,NA
trellis plots,48,48,4,Plots of Multivariate Data,NA
lattice,48,48,4,Plots of Multivariate Data,\texttt{lattice} package
packages!lattice,48,48,4,Plots of Multivariate Data,packages!\texttt{lattice}
panel.smoother(),48,48,4,Plots of Multivariate Data,\texttt{panel.smoother()}
car,48,48,4,Plots of Multivariate Data,\texttt{car} package
packages!car,48,48,4,Plots of Multivariate Data,packages!\texttt{car}
ggplot2,48,48,4,Plots of Multivariate Data,\texttt{ggplot2} package
packages!ggplot2,48,48,4,Plots of Multivariate Data,packages!\texttt{ggplot2}
lme4,48,48,4,Plots of Multivariate Data,\texttt{lme4} package
packages!lme4,48,48,4,Plots of Multivariate Data,packages!\texttt{lme4}
nlme,48,48,4,Plots of Multivariate Data,\texttt{nlme} package
packages!nlme,48,48,4,Plots of Multivariate Data,packages!\texttt{nlme}
brms,48,48,4,Plots of Multivariate Data,\texttt{brms} package
packages!brms,48,48,4,Plots of Multivariate Data,packages!\texttt{brms}
mixed models,48,48,4,Plots of Multivariate Data,NA
Formula,48,48,4,Plots of Multivariate Data,\texttt{Formula} package
packages!Formula,48,48,4,Plots of Multivariate Data,packages!\texttt{Formula}
ivreg,48,48,4,Plots of Multivariate Data,\texttt{ivreg} package
packages!ivreg,48,48,4,Plots of Multivariate Data,packages!\texttt{ivreg}
pscl,48,48,4,Plots of Multivariate Data,\texttt{pscl} package
packages!pscl,48,48,4,Plots of Multivariate Data,packages!\texttt{pscl}
geom_smooth(),48,48,4,Plots of Multivariate Data,\texttt{geom\_smooth()}
conditioning,51,51,4,Plots of Multivariate Data,NA
faceting,51,51,4,Plots of Multivariate Data,NA
facet_wrap(),51,51,4,Plots of Multivariate Data,\texttt{facet\_wrap()}
conditioning,52,52,4,Plots of Multivariate Data,NA
stratifier,52,52,4,Plots of Multivariate Data,NA
data ellipse,52,52,4,Plots of Multivariate Data,NA
Mahalanobis distance,53,53,4,Plots of Multivariate Data,NA
ellipse(),55,55,4,Plots of Multivariate Data,\texttt{ellipse()}
stat_ellipse(),55,55,4,Plots of Multivariate Data,\texttt{stat\_ellipse()}
ellipse.label(),55,55,4,Plots of Multivariate Data,\texttt{ellipse.label()}
plotmath(),56,56,4,Plots of Multivariate Data,\texttt{plotmath()}
principal components,57,57,4,Plots of Multivariate Data,NA
ellipses,57,57,4,Plots of Multivariate Data,NA
dataEllipse(),59,59,4,Plots of Multivariate Data,\texttt{dataEllipse()}
scatterplot(),59,59,4,Plots of Multivariate Data,\texttt{scatterplot()}
car,59,59,4,Plots of Multivariate Data,\texttt{car} package
packages!car,59,59,4,Plots of Multivariate Data,packages!\texttt{car}
dataEllipse(),59,59,4,Plots of Multivariate Data,\texttt{dataEllipse()}
covEllipses(),59,59,4,Plots of Multivariate Data,\texttt{covEllipses()}
stat_ellipse(),60,60,4,Plots of Multivariate Data,\texttt{stat\_ellipse()}
dataEllipse(),60,60,4,Plots of Multivariate Data,\texttt{dataEllipse()}
Prestige,60,60,4,Plots of Multivariate Data,\texttt{Prestige} data
datasets!Prestige,60,60,4,Plots of Multivariate Data,datasets!\texttt{Prestige}
scatterplot(),60,60,4,Plots of Multivariate Data,\texttt{scatterplot()}
stratifier,63,63,4,Plots of Multivariate Data,NA
stratifier,64,64,4,Plots of Multivariate Data,NA
palmerpenguins,65,65,4,Plots of Multivariate Data,\texttt{palmerpenguins} package
packages!palmerpenguins,65,65,4,Plots of Multivariate Data,packages!\texttt{palmerpenguins}
peng,65,65,4,Plots of Multivariate Data,\texttt{peng} data
