"term","page","formatted"
"datasets!mathscore","300","datasets!\texttt{mathscore}"
"heplots","300","\texttt{heplots} package"
"packages!heplots","300","packages!\texttt{heplots}"
"hotelling.test()","301","\texttt{hotelling.test()}"
"Anova()","301","\texttt{Anova()}"
"tidy.mlm()","301","\texttt{tidy.mlm()}"
"covEllipses()","302","\texttt{covEllipses()}"
"data ellipse","302",NA
"discriminant analysis!axis","303",NA
"Hotelling $T^2$","303",NA
"HE plot","303",NA
"hypothesis matrix","304",NA
"sum of squares and products","304",NA
"error matrix","305",NA
"heplot()","305","\texttt{heplot()}"
"visual test of significance","305",NA
"project_on()","306","\texttt{project\_on()}"
"HE plot","307",NA
"discriminant analysis","307",NA
"MASS","307","\texttt{MASS} package"
"packages!MASS","307","packages!\texttt{MASS}"
"discriminant analysis!linear","307",NA
"prior probabilities","307",NA
"discriminant analysis!scores","308",NA
"violin plot","309",NA
"discriminant analysis","309",NA
"banknote","310","\texttt{banknote} data"
"datasets!banknote","310","datasets!\texttt{banknote}"
"mclust","310","\texttt{mclust} package"
"packages!mclust","310","packages!\texttt{mclust}"
"geom_jitter()","311","\texttt{geom\_jitter()}"
"biplot","312",NA
"biplot","312",NA
"multivariate test statistics","313",NA
"Pillai trace","313",NA
"Wilks lambda","313",NA
"tidy.mlm()","314","\texttt{tidy.mlm()}"
"$\eta^2$","314",NA
"coefficient of determination","314",NA
"uniStats()","314","\texttt  {uniStats()}"
"etasq()","315","\texttt{etasq()}"
"effect size","315",NA
"canonical discriminant analysis","315",NA
"HE framework","315",NA
"canonical space","315",NA
"etasq()","315","\texttt  {etasq()}"
"eta_squared()","315","\texttt  {eta\_squared()}"
"multivariate linear model","319",NA
"VGAM","319","\texttt  {VGAM} package"
"packages!VGAM","319","packages!\texttt  {VGAM}"
"model matrix","321",NA
"multivariate linear model!assumptions","322",NA
"MVN","322","\texttt{MVN} package"
"packages!MVN","322","packages!\texttt{MVN}"
"cqplot()","322","\texttt{cqplot()}"
"exogeneity","323",NA
"multivariate linear model!fitting","323",NA
"rlm()","324","\texttt{rlm()}"
"robmlm()","324","\texttt{robmlm()}"
"dogfood","324","\texttt{dogfood} data"
"datasets!dogfood","324","datasets!\texttt{dogfood}"
"Anova()","325","\texttt{Anova()}"
"multivariate linear model!sums of squares","326",NA
"Anova()","327","\texttt{Anova()}"
"multivariate linear model!test statistics","330",NA
"Anova()","331","\texttt{Anova()}"
"etasq()","331","\texttt{etasq()}"
"eta squared, $\eta^2$","331",NA
"effect size","331",NA
"contrasts","331",NA
"linear hypotheses","331",NA
"nested dichotomies","332",NA
"linearHypothesis()","333","\texttt{linearHypothesis()}"
"multivariate linear model","334",NA
"MANOVA","334",NA
"Parenting","336","\texttt{Parenting} data"
"datasets!Parenting","336","datasets!\texttt{Parenting}"
"summary.aov()","339","\texttt{summary.aov()}"
"glance()","340","\texttt{glance()}"
"Anova()","340","\texttt{Anova()}"
"pluck()","341","\texttt{pluck()}"
"linearHypothesis()","341","\texttt{linearHypothesis()}"
"AddHealth","343","\texttt{AddHealth} data"
"datasets!AddHealth","343","datasets!\texttt{AddHealth}"
"Anova()","346","\texttt{Anova()}"
"linearHypothesis()","346","\texttt{linearHypothesis()}"
"MANOVA!factorial","348",NA
"uniStats()","349","\texttt{uniStats()}"
"glance.mlm()","349","\texttt{glance.mlm()}"
"ggplot2","349","\texttt{ggplot2} package"
"packages!ggplot2","349","packages!\texttt{ggplot2}"
"geom_errorbar()","349","\texttt{geom\_errorbar()}"
"ggline()","349","\texttt{ggline()}"
"geom_pwc()","349","\texttt  {geom\_pwc()}"
"ggdist","349","\texttt  {ggdist} package"
"packages!ggdist","349","packages!\texttt  {ggdist}"
"uncertainty","349",NA
"MockJury","351","\texttt{MockJury} data"
"datasets!MockJury","351","datasets!\texttt{MockJury}"
"heplots","351","\texttt{heplots} package"
"packages!heplots","351","packages!\texttt{heplots}"
"MANOVA!factorial","352",NA
"MANOVA","352",NA
"multiple regression!multivariate","352",NA
"NLSY","353","\texttt{NLSY} data"
"datasets!NLSY","353","datasets!\texttt{NLSY}"
"noteworthy()","355","\texttt{noteworthy()}"
"heplots","357","\texttt{heplots} package"
"packages!heplots","357","packages!\texttt{heplots}"
"coefplot.mlm()","357","\texttt{coefplot.mlm()}"
"schooldata","360","\texttt{schooldata} data"
"datasets!schooldata","360","datasets!\texttt{schooldata}"
"schoolsites","360","\texttt  {schoolsites} data"
"datasets!schoolsites","360","datasets!\texttt  {schoolsites}"
"GGally","360","\texttt  {GGally} package"
"packages!GGally","360","packages!\texttt  {GGally}"
"multiple regression!multivariate","363",NA
"diagnostic plots!multivariate","363",NA
"multivariate normality","364",NA
"MVN","364","\texttt{MVN} package"
"packages!MVN","364","packages!\texttt{MVN}"
"multivariate normality","365",NA
"Mahalanobis distance","365",NA
"distance plot","365",NA
"distPlot()","365","\texttt{distPlot()}"
"robust estimation","366",NA
"influence!multivariate","366",NA
"mvinfluence","366","\texttt{mvinfluence} package"
"packages!mvinfluence","366","packages!\texttt{mvinfluence}"
"influence!multivariate","368",NA
"diagnostic plots!multivariate","368",NA
"ANCOVA","368",NA
"MANCOVA","368",NA
"Rohwer","370","\texttt{Rohwer} data"
"datasets!Rohwer","370","datasets!\texttt{Rohwer}"
"uniStats()","372","\texttt{uniStats()}"
"MANCOVA!adjusted means","373",NA
"MANCOVA!homogeneity of regression","374",NA
"MANCOVA!homogeneity of regression","374",NA
"MANCOVA","375",NA
"HE plot","378",NA
"contrasts","378",NA
"canonical discriminant analysis","378",NA
"heplots","378","\texttt{heplots} package"
"packages!heplots","378","packages!\texttt{heplots}"
"candisc","378","\texttt{candisc} package"
"packages!candisc","378","packages!\texttt{candisc}"
"heplots","378","\texttt{heplots} package"
"packages!heplots","378","packages!\texttt{heplots}"
"heplots","378","\texttt  {heplots} package"
"packages!heplots","378","packages!\texttt  {heplots}"
"dogfood","379","\texttt{dogfood} data"
"datasets!dogfood","379","datasets!\texttt{dogfood}"
"quartets!dogfood","379",NA
"data space","379",NA
"canonical space","380",NA
"sum of squares and products","380",NA
"effect size scaling","381",NA
"significance scaling","381",NA
"glance()","385","\texttt{glance()}"
"uniStats()","385","\texttt{uniStats()}"
"etasq()","385","\texttt{etasq()}"
"significance scaling","386",NA
"visual test of significance","386",NA
"Roy maximum root test","387",NA
"significance scaling","387",NA
"linear hypothesis","387",NA
"orthogonal contrasts","387",NA
"linearHypothesis()","387","\texttt{linearHypothesis()}"
"heplot()","387","\texttt{heplot()}"
"heplots","389","\texttt{heplots} package"
"packages!heplots","389","packages!\texttt{heplots}"
"HE plot!matrix","389",NA
"conjugate axes","389",NA
"canonical discriminant analysis","391",NA
"candisc","391","\texttt{candisc} package"
"packages!candisc","391","packages!\texttt{candisc}"
"Wilks lambda","391",NA
"canonical correlation","392",NA
"canonical structure coefficients","392",NA
"canonical scores","393",NA
"canonical discriminant analysis","395",NA
"factorial MANOVA","396",NA
"MANOVA!factorial","396",NA
"interaction","396",NA
"termMeans()","396","\texttt{termMeans()}"
"lines()","396","\texttt{lines()}"
"factorial MANOVA","401",NA
"multivariate multiple regression","401",NA
"joint linear hypothesis","401",NA
"roblm()","403","\texttt  {roblm()}"
"multivariate multiple regression","405",NA
"canonical correlation analysis","405",NA
"canonical variates","406",NA
"eigenvalue!generalized","407",NA
"cancor()","407","\texttt{cancor()}"
"canonical correlation analysis","410",NA
"MANCOVA","411",NA
"homogeneity of regression","413",NA
"heterogeneous regression","413",NA
"MANCOVA","414",NA
"covariance matrices!equality","417",NA
"covariance matrices!heterogeneity","417",NA
"discriminant analysis!quadratic","417",NA
"heplots","418","\texttt{heplots} package"
"packages!heplots","418","packages!\texttt{heplots}"
"homogeneity of variance","418",NA
"Levene's test","419",NA
"Brown-Forsythe test","419",NA
"colDevs()","419","\texttt{colDevs()}"
"leveneTest()","419","\texttt{leveneTest()}"
"Levene's test","422",NA
"data ellipse","423",NA
"peng","423","\texttt{peng} data"
"datasets!peng","423","datasets!\texttt{peng}"
"covEllipses()","423","\texttt{covEllipses()}"
"centered ellipses","423",NA
"pooled covariance matrix","423",NA
"peng","424","\texttt{peng} data"
"datasets!peng","424","datasets!\texttt{peng}"
"Box's M test","426",NA
"likelihood-ratio test","426",NA
"log determinant","426",NA
"principal components","429",NA
"generalized variance","431",NA
"precision matrix","431",NA
"eigenvalue!maximum","431",NA
"heplots","431","\texttt{heplots} package"
"packages!heplots","431","packages!\texttt{heplots}"
"heplots","432","\texttt{heplots} package"
"packages!heplots","432","packages!\texttt{heplots}"
"Box's M test","433",NA
"Levene's test!multivariate","433",NA
"MANOVA","433",NA
"HE plot","433",NA
"canonical discriminant analysis","433",NA
"canonical structure coefficients","435",NA
"canonical discriminant analysis","435",NA
"Levene's test!multivariate","435",NA
"covariance matrices!equality","435",NA
"covariance matrices!heterogeneity","435",NA
"influential observations","437",NA
"outliers","437",NA
"stats","437","\texttt{stats} package"
"packages!stats","437","packages!\texttt{stats}"
"car","437","\texttt{car} package"
"packages!car","437","packages!\texttt{car}"
"olsrr","437","\texttt  {olsrr} package"
"packages!olsrr","437","packages!\texttt  {olsrr}"
"HLMdiag","437","\texttt  {HLMdiag} package"
"packages!HLMdiag","437","packages!\texttt  {HLMdiag}"
"hlm_influence()","437","\texttt  {hlm\_influence()}"
"hlm_augment()","437","\texttt  {hlm\_augment()}"
"mvinfluence","438","\texttt{mvinfluence} package"
"packages!mvinfluence","438","packages!\texttt{mvinfluence}"
"case deletion","438",NA
"hat matrix","439",NA
"leverage","439",NA
"Cook's distance","439",NA
"Cook's distance","439",NA
"Cook's distance!multivariate","439",NA
"studentized residuals","440",NA
"mvinfluence","440","\texttt{mvinfluence} package"
"packages!mvinfluence","440","packages!\texttt{mvinfluence}"
"cooks.distance.lm()","441","\texttt{cooks.distance.lm()}"
"cooks.distance.mlm()","441","\texttt{cooks.distance.mlm()}"
"influence plot","442",NA
"influencePlot.mlm()","442","\texttt{influencePlot.mlm()}"
"DFBETAS","444",NA
"dfbetas()","444","\texttt{dfbetas()}"
"Cook's distance","445",NA
"NLSY","445","\texttt{NLSY} data"
"datasets!NLSY","445","datasets!\texttt{NLSY}"
"heplots","445","\texttt{heplots} package"
"packages!heplots","445","packages!\texttt{heplots}"
"influential observations","448",NA
"robust estimation","449",NA
"weighted least squares","449",NA
"robust estimation!S-estimator","449",NA
"robust estimation!MM-estimator","449",NA
"M-estimators","450",NA
"robmlm()","450","\texttt{robmlm()}"
"biweight function","450",NA
"psi.bisquare()","450","\texttt{psi.bisquare()}"
"iteratively reweighted least squares","450",NA
"robmlm()","450","\texttt{robmlm()}"
"rlm()","450","\texttt{rlm()}"
"rel_diff()","451","\texttt{rel\_diff()}"
"robust estimation","452",NA
"lm()","455","\texttt{lm()}"
"lda()","455","\texttt{lda()}"
"candisc()","456","\texttt  {candisc()}"
"candiscList()","456","\texttt  {candiscList()}"
"qda()","458","\texttt{qda()}"
"mda","458","\texttt  {mda} package"
"packages!mda","458","packages!\texttt  {mda}"
"mda()","458","\texttt  {mda()}"
"fda()","458","\texttt  {fda()}"
"lda()","458","\texttt  {lda()}"
"lda()","460","\texttt{lda()}"
"predict.lda()","461","\texttt{predict.lda()}"
"cross validatation","462",NA
"MASS","463","\texttt{MASS} package"
"packages!MASS","463","packages!\texttt{MASS}"
"candisc","463","\texttt{candisc} package"
"packages!candisc","463","packages!\texttt{candisc}"
"predict_discrim()","463","\texttt{predict\_discrim()}"
"predict.lda()","463","\texttt{predict.lda()}"
"cor_lda()","463","\texttt{cor\_lda()}"
"scores.lda()","463","\texttt{scores.lda()}"
"scores()","463","\texttt{scores()}"
"predict_discrim()","463","\texttt{predict\_discrim()}"
"geom_text()","464","\texttt{geom\_text()}"
"geom_label()","464","\texttt{geom\_label()}"
"geom_label()","464","\texttt{geom\_label()}"
"predict_discrim()","464","\texttt{predict\_discrim()}"
"MASS","465","\texttt{MASS} package"
"packages!MASS","465","packages!\texttt{MASS}"
"plot.lda()","465","\texttt{plot.lda()}"
"predict_discrim()","465","\texttt{predict\_discrim()}"
"predict_discrim()","468","\texttt{predict\_discrim()}"
"dataEllipse()","468","\texttt{dataEllipse()}"
"geom_tile()","468","\texttt{geom\_tile()}"
"geom_contour()","468","\texttt{geom\_contour()}"
"partimat()","469","\texttt{partimat()}"
"lda()","469","\texttt{lda()}"
"qda()","469","\texttt{qda()}"
"rpart()","469","\texttt{rpart()}"
"naiveBayes()","469","\texttt{naiveBayes()}"
"ggplot2","469","\texttt{ggplot2} package"
"packages!ggplot2","469","packages!\texttt{ggplot2}"
"datagrid()","469","\texttt{datagrid()}"
"partimat()","469","\texttt  {partimat()}"
"geom_tile()","470","\texttt{geom\_tile()}"
"plot_discrim()","472","\texttt{plot\_discrim()}"
"geom_vector()","475","\texttt{geom\_vector()}"
"coord_equal()","475","\texttt{coord\_equal()}"
"candisc","476","\texttt{candisc} package"
"packages!candisc","476","packages!\texttt{candisc}"
"qda()","479","\texttt{qda()}"
"lda()","479","\texttt{lda()}"
